GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-starter-webauthn,com.mih.webauthn.flows,WebAuthnRegistrationAddStrategy,0,46,0,0,0,13,0,3,0,3
spring-boot-starter-webauthn,com.mih.webauthn.flows,WebAuthnAssertionFinishStrategy,16,91,2,2,6,24,2,3,0,3
spring-boot-starter-webauthn,com.mih.webauthn.flows,WebAuthnRegistrationStartStrategy,13,200,4,8,4,58,5,7,1,5
spring-boot-starter-webauthn,com.mih.webauthn.flows,InvalidTokenException,0,4,0,0,0,2,0,1,0,1
spring-boot-starter-webauthn,com.mih.webauthn.flows,WebAuthnAssertionStartStrategy,0,47,0,0,0,15,0,2,0,2
spring-boot-starter-webauthn,com.mih.webauthn.flows,WebAuthnRegistrationFinishStrategy,59,114,4,2,16,32,7,3,4,3
spring-boot-starter-webauthn,com.mih.webauthn.flows,UsernameAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
spring-boot-starter-webauthn,com.mih.webauthn.domain,WebAuthnCredentialsInMemoryRepository,22,77,2,4,3,16,5,8,3,7
spring-boot-starter-webauthn,com.mih.webauthn.domain,WebAuthnUser,0,38,0,0,0,16,0,11,0,11
spring-boot-starter-webauthn,com.mih.webauthn.domain,WebAuthnUserInMemoryRepository,0,89,2,6,0,18,2,11,0,9
spring-boot-starter-webauthn,com.mih.webauthn.domain,WebAuthnCredentials,0,46,0,0,0,20,0,10,0,10
spring-boot-starter-webauthn,com.mih.webauthn,WebAuthnProperties,0,43,0,0,0,17,0,11,0,11
spring-boot-starter-webauthn,com.mih.webauthn,WebAuthnProperties.FilterPaths,60,49,0,0,16,10,8,4,8,4
spring-boot-starter-webauthn,com.mih.webauthn,BytesUtil,3,49,0,4,1,11,1,4,1,2
spring-boot-starter-webauthn,com.mih.webauthn,WebAuthnFilter,16,336,1,9,4,75,2,16,1,12
spring-boot-starter-webauthn,com.mih.webauthn,WebAuthnConfig,4,46,0,0,1,11,1,6,1,6
spring-boot-starter-webauthn,com.mih.webauthn.dto,AssertionFinishRequest,0,15,0,0,0,6,0,3,0,3
spring-boot-starter-webauthn,com.mih.webauthn.dto,RegistrationStartRequest,8,24,0,0,1,10,1,7,1,7
spring-boot-starter-webauthn,com.mih.webauthn.dto,RegistrationFinishRequest,0,15,0,0,0,6,0,3,0,3
spring-boot-starter-webauthn,com.mih.webauthn.dto,RegistrationStartResponse,0,42,0,0,0,16,0,6,0,6
spring-boot-starter-webauthn,com.mih.webauthn.dto,RegistrationStartResponse.Status,0,34,0,0,0,2,0,1,0,1
spring-boot-starter-webauthn,com.mih.webauthn.dto,AssertionStartResponse,0,22,0,0,0,9,0,4,0,4
spring-boot-starter-webauthn,com.mih.webauthn.dto,RegistrationStartResponse.Mode,0,34,0,0,0,2,0,1,0,1
spring-boot-starter-webauthn,com.mih.webauthn.service,DefaultCredentialService,59,135,0,0,9,31,4,10,4,10
spring-boot-starter-webauthn,com.mih.webauthn.config,InMemoryOperation,0,36,0,0,0,9,0,6,0,6
spring-boot-starter-webauthn,com.mih.webauthn.config,WebauthnConfigurer,16,115,0,0,5,30,2,8,2,8
